span1,span2,span3
un,desde,cierto
una,conseguir,ciertos
unas,consigo,cierta
unos,consigue,ciertas
uno,consigues,intentar
sobre,conseguimos,intento
todo,consiguen,intenta
también,ir,intentas
tras,voy,intentamos
otro,va,intentais
algún,vamos,intentan
alguno,vais,dos
alguna,van,bajo
algunos,vaya,arriba
algunas,gueno,encima
ser,ha,usar
es,tener,uso
soy,tengo,usas
eres,tiene,usa
somos,tenemos,usamos
sois,teneis,usais
estoy,tienen,usan
esta,el,emplear
estamos,la,empleo
estais,lo,empleas
estan,las,emplean
como,los,ampleamos
en,su,empleais
para,aqui,valor
atras,mio,muy
porque,tuyo,era
por qué,ellos,eras
estado,ellas,eramos
estaba,nos,eran
ante,nosotros,modo
antes,vosotros,bien
siendo,vosotras,cual
ambos,si,cuando
pero,dentro,donde
por,solo,mientras
poder,solamente,quien
puede,saber,con
puedo,sabes,entre
podemos,sabe,sin
podeis,sabemos,trabajo
pueden,sabeis,trabajar
fui,saben,trabajas
fue,ultimo,trabaja
fuimos,largo,trabajamos
fueron,bastante,trabajais
hacer,haces,trabajan
hago,muchos,podria
hace,aquellos,podrias
hacemos,aquellas,podriamos
haceis,sus,podrian
hacen,entonces,podriais
cada,tiempo,yo
fin,verdad,aquel
incluso,verdadero,
primero,verdadera,
